distance matrix	population:	AFR___GWD	AFR___ACB	AFR___GWD	AFR___LWK	SAS___BEB	AFR___ACB	AMR___PUR	EAS___CDX	EAS___KHV	EAS___CHS
NEW__ENSG00000175426___PCSK1__dist_max___BOOT1	1.4323539460198156	0.6037735849056604	1.828926905132193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT2	1.412783751493429	0.833119931711481	1.774778574441164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT3	1.1639279684862127	0.7403375068045726	1.4257879656160457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT4	1.0415162454873643	0.6969030969030969	1.2352688172043007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT5	0.9356574637342064	0.7903907968194891	0.9911993097497841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT6	0.8333887872234236	0.6717469446441408	0.9268431539994305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT7	0.7609087032737953	0.5840730091261406	0.8773198361050859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT8	0.9350950490912887	0.7653917402201155	1.0273037542662122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT9	0.9208358076009502	0.7380102286982533	1.0324551355479197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT10	0.9754729616608072	0.7801836133725966	1.0960989533777363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT11	1.0052731041209464	0.8259319286871962	1.1349940688018991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT12	0.9723376949474101	0.7996451279018187	1.0896511963101772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT13	0.9647684267435578	0.8379888268156426	1.0488513335093752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT14	0.9808497404368319	0.9084710201940731	1.0176574815176889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT15	0.9737171045289169	0.9219640777294185	0.9878111004025178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT16	0.9510410569445609	0.9036575516326298	0.9542593369702063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT17	0.9787936095187446	0.9784922876384969	0.9347729625795007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT18	0.9905344278773666	1.0192337282658874	0.9152400835073073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT19	0.9705229403058712	0.9989277707378891	0.8919060052219326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT20	0.9491638795986623	0.9756548251489817	0.8796701237036114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT21	0.9573900297927259	0.9546891464699688	0.9119631658331354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT22	0.9252999240698558	0.9396345305608069	0.8702041434685452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT23	0.8960802518387423	0.9221143819683968	0.8368603168821709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT24	0.8898818624044477	0.8794706039857706	0.8698535896983597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT25	0.9407579769450909	0.9310458836927368	0.916644040184632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT26	0.9667928268901504	0.9366900886268136	0.9547967479674796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT27	0.9811883644483038	0.9256468823509355	0.9963554103305262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT28	0.9749354252367742	0.9101215636161072	0.9990281827016517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT29	0.9670421624865824	0.8754412506303569	1.022414099000532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT30	0.9519171804792114	0.8449487421287973	1.024964888646851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT31	0.9649176788124153	0.8863261943986805	1.0131996658312439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT32	0.9599619382228076	0.8932758964995848	0.999163044358648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT33	0.9728506787330313	0.9152823003476999	1.008476142694937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT34	0.9593264707619027	0.885495368021997	1.0183887236518805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT35	0.9474478778497581	0.8757580469600356	1.0037389275049544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT36	0.9595966167859464	0.8881665820213289	1.021451057910534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT37	0.9774053995348034	0.9226358198625716	1.027624573215862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT38	0.9798307848235137	0.9273519709118909	1.0353271684419978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT39	0.972096556815548	0.9123426394760051	1.0238019387430015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT40	0.9630624299315628	0.9055507647619462	1.006355699236875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT41	0.947332789559543	0.8921058980939204	0.9837686767709327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT42	0.9514880502042733	0.9091841970241131	0.9723905159220964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT43	0.954053927899052	0.8891862507317875	0.9970744082325725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT44	0.9594068441064634	0.9066470564203115	0.9901196047841895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT45	0.9436593031809363	0.9004661584938862	0.9698679518827614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT46	0.9583078758255499	0.9197612340182407	0.9845115779788357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT47	0.9565146208820926	0.9140039675661085	0.9871310751657908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT48	0.9703002406109414	0.9295907402869135	1.00194016888708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT49	0.9835390946502048	0.932572441686518	1.0249832418428515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT50	0.9962630792227197	0.93543540825746	1.047143491781428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT51	1.0033229689133125	0.9585920590426832	1.0374189951919706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT52	0.99995809938825	0.9727942072374696	1.0158470224996996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT53	0.9913164699411394	0.9666284658672982	1.0089195895647496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT54	1.0044982398192002	0.9702578546759189	1.0290472820630963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT55	0.9973186754256594	0.9642144823380072	1.0161828923709206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
