Feature,Population,p-value,adjusted_p-value
0,AFR___GWD(p-value).1,0.0,0.004545454545454546
0,AFR___LWK(p-value),0.0,0.009090909090909092
0,SAS___BEB(p-value),0.0,0.013636363636363636
0,AFR___ACB(p-value).1,0.0,0.018181818181818184
0,AMR___PUR(p-value),0.0,0.022727272727272728
0,EAS___CDX(p-value),0.0,0.02727272727272727
0,EAS___KHV(p-value),0.0,0.03181818181818182
0,EAS___CHS(p-value),0.0,0.03636363636363637
0,AFR___GWD(p-value),0.1485148514851485,0.040909090909090916
0,AFR___ACB(p-value),0.99009900990099,0.045454545454545456
