distance matrix	population:	AFR___GWD	AFR___ACB	AFR___GWD	AFR___LWK	SAS___BEB	AFR___ACB	AMR___PUR	EAS___CDX	EAS___KHV	EAS___CHS
NEW__ENSG00000175426___PCSK1__dist_max___BOOT1	0.6163097199341022	0.6166007905138341	0.5389473684210527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT2	0.5690448791714615	0.2892906815020863	0.7730693069306929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT3	1.0194587340639678	0.9084249084249083	1.101533121203355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT4	1.1041421114665766	0.83955223880597	1.3583241455347292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT5	1.1140421804460612	0.9413616686343956	1.3151451556488276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT6	1.1550036564099675	0.8874302592714143	1.4526191877575039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT7	1.1144775472878659	0.8213858225827905	1.4566534914361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT8	1.0141084231269129	0.7067978942549784	1.29720241360395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT9	0.9616843279419963	0.6852075775896815	1.2151503319016013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT10	1.0593197553270146	0.8243559718969556	1.2626004060376035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT11	0.9915620811502377	0.743400211193242	1.1905213270142183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT12	1.0012151856300806	0.8275651310260527	1.1369509043927655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT13	1.0105510267258284	0.9049283218030102	1.1010499565304628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT14	0.9959184162018531	0.9173996428807621	1.0692028532098619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
